1-й тур
13.08.2021 Брентфорд  -  Арсенал 2 : 0
14.08.2021 Манчестер Юнайтед  -  Лидс 5 : 1
14.08.2021 Бернли  -  Брайтон & Хоув 1 : 2
14.08.2021 Лестер  -  Вулверхэмптон Уондерерс 1 : 0
14.08.2021 Уотфорд  -  Астон Вилла 3 : 2
14.08.2021 Челси  -  Кристал Пэлас 3 : 0
14.08.2021 Эвертон  -  Саутгемптон 3 : 1
14.08.2021 Норвич  -  Ливерпуль 0 : 3
15.08.2021 Ньюкасл Юнайтед  -  Вест Хэм Юнайтед 2 : 4
15.08.2021 Тоттенхэм Хотспур  -  Манчестер Сити 1 : 0
2-й тур
21.08.2021 Ливерпуль  -  Бернли 2 : 0
21.08.2021 Астон Вилла  -  Ньюкасл Юнайтед 2 : 0
21.08.2021 Кристал Пэлас  -  Брентфорд 0 : 0
21.08.2021 Лидс  -  Эвертон 2 : 2
21.08.2021 Манчестер Сити  -  Норвич 5 : 0
21.08.2021 Брайтон & Хоув  -  Уотфорд 2 : 0
22.08.2021 Вулверхэмптон Уондерерс  -  Тоттенхэм Хотспур 0 : 1
22.08.2021 Саутгемптон  -  Манчестер Юнайтед 1 : 1
22.08.2021 Арсенал  -  Челси 0 : 2
23.08.2021 Вест Хэм Юнайтед  -  Лестер 4 : 1
3-й тур
28.08.2021 Манчестер Сити  -  Арсенал 5 : 0
28.08.2021 Астон Вилла  -  Брентфорд 1 : 1
28.08.2021 Брайтон & Хоув  -  Эвертон 0 : 2
28.08.2021 Вест Хэм Юнайтед  -  Кристал Пэлас 2 : 2
28.08.2021 Норвич  -  Лестер 1 : 2
28.08.2021 Ньюкасл Юнайтед  -  Саутгемптон 2 : 2
28.08.2021 Ливерпуль  -  Челси 1 : 1
29.08.2021 Бернли  -  Лидс 1 : 1
29.08.2021 Тоттенхэм Хотспур  -  Уотфорд 1 : 0
29.08.2021 Вулверхэмптон Уондерерс  -  Манчестер Юнайтед 0 : 1
4-й тур
11.09.2021 Кристал Пэлас  -  Тоттенхэм Хотспур 3 : 0
11.09.2021 Уотфорд  -  Вулверхэмптон Уондерерс 0 : 2
11.09.2021 Арсенал  -  Норвич 1 : 0
11.09.2021 Брентфорд  -  Брайтон & Хоув 0 : 1
11.09.2021 Лестер  -  Манчестер Сити 0 : 1
11.09.2021 Манчестер Юнайтед  -  Ньюкасл Юнайтед 4 : 1
11.09.2021 Саутгемптон  -  Вест Хэм Юнайтед 0 : 0
11.09.2021 Челси  -  Астон Вилла 3 : 0
12.09.2021 Лидс  -  Ливерпуль 0 : 3
