1-й тур
06.08.2021 Монако  -  Нант 1 : 1
07.08.2021 Лион  -  Брест 1 : 1
07.08.2021 Труа  -  ПСЖ 1 : 2
08.08.2021 Ренн  -  Ланс 1 : 1
08.08.2021 Бордо  -  Клермон Фут 0 : 2
08.08.2021 Ницца  -  Реймс 0 : 0
08.08.2021 Сент-Этьен  -  Лорьян 1 : 1
08.08.2021 Страсбур  -  Анже 0 : 2
08.08.2021 Метц  -  Лилль 3 : 3
08.08.2021 Монпелье  -  Марсель 2 : 3
2-й тур
13.08.2021 Лорьян  -  Монако 1 : 0
14.08.2021 Лилль  -  Ницца 0 : 4
14.08.2021 ПСЖ  -  Страсбур 4 : 2
15.08.2021 Анже  -  Лион 3 : 0
15.08.2021 Брест  -  Ренн 1 : 1
15.08.2021 Клермон Фут  -  Труа 2 : 0
15.08.2021 Нант  -  Метц 2 : 0
15.08.2021 Реймс  -  Монпелье 3 : 3
15.08.2021 Ланс  -  Сент-Этьен 2 : 2
15.08.2021 Марсель  -  Бордо 2 : 2
3-й тур
20.08.2021 Брест  -  ПСЖ 2 : 4
21.08.2021 Монако  -  Ланс 0 : 2
21.08.2021 Сент-Этьен  -  Лилль 1 : 1
22.08.2021 Лион  -  Клермон Фут 3 : 3
22.08.2021 Бордо  -  Анже 1 : 1
22.08.2021 Метц  -  Реймс 1 : 1
22.08.2021 Монпелье  -  Лорьян 3 : 1
22.08.2021 Страсбур  -  Труа 1 : 1
22.08.2021 Ренн  -  Нант 1 : 0
27.10.2021 Ницца  -  Марсель 22:00
4-й тур
27.08.2021 Нант  -  Лион 0 : 1
28.08.2021 Ницца  -  Бордо 4 : 0
28.08.2021 Марсель  -  Сент-Этьен 3 : 1
29.08.2021 Труа  -  Монако 1 : 2
29.08.2021 Анже  -  Ренн 2 : 0
29.08.2021 Клермон Фут  -  Метц 2 : 2
29.08.2021 Ланс  -  Лорьян 2 : 2
29.08.2021 Страсбур  -  Брест 3 : 1
29.08.2021 Лилль  -  Монпелье 2 : 1
29.08.2021 Реймс  -  ПСЖ 0 : 2
5-й тур
10.09.2021 Лорьян  -  Лилль 2 : 1
11.09.2021 ПСЖ  -  Клермон Фут 4 : 0
11.09.2021 Монако  -  Марсель 0 : 2
12.09.2021 Монпелье  -  Сент-Этьен 2 : 0
12.09.2021 Бордо  -  Ланс 2 : 3
12.09.2021 Брест  -  Анже 1 : 1
12.09.2021 Метц  -  Труа 0 : 2
12.09.2021 Ренн  -  Реймс 0 : 2
12.09.2021 Нант  -  Ницца 0 : 2
12.09.2021 Лион  -  Страсбур 3 : 1
6-й тур
17.09.2021 Страсбур  -  Метц 3 : 0
18.09.2021 Ланс  -  Лилль 1 : 0
18.09.2021 Сент-Этьен  -  Бордо 1 : 2
19.09.2021 Ницца  -  Монако 2 : 2
19.09.2021 Анже  -  Нант 1 : 4
19.09.2021 Клермон Фут  -  Брест 1 : 1
19.09.2021 Реймс  -  Лорьян 0 : 0
19.09.2021 Труа  -  Монпелье 1 : 1
19.09.2021 Марсель  -  Ренн 2 : 0
19.09.2021 ПСЖ  -  Лион 2 : 1
7-й тур
22.09.2021 Лилль  -  Реймс 2 : 1
22.09.2021 Монако  -  Сент-Этьен 3 : 1
22.09.2021 Монпелье  -  Бордо 3 : 3
22.09.2021 Нант  -  Брест 3 : 1
22.09.2021 Ренн  -  Клермон Фут 6 : 0
22.09.2021 Анже  -  Марсель 0 : 0
22.09.2021 Ланс  -  Страсбур 0 : 1
22.09.2021 Лион  -  Труа 3 : 1
22.09.2021 Лорьян  -  Ницца 1 : 0
22.09.2021 Метц  -  ПСЖ 1 : 2
8-й тур
25.09.2021 Сент-Этьен  -  Ницца 18:00
25.09.2021 Страсбур  -  Лилль 20:00
25.09.2021 Лион  -  Лорьян 22:00
25.09.2021 ПСЖ  -  Монпелье 22:00
26.09.2021 Бордо  -  Ренн 14:00
26.09.2021 Брест  -  Метц 16:00
26.09.2021 Реймс  -  Нант 16:00
26.09.2021 Труа  -  Анже 16:00
26.09.2021 Клермон Фут  -  Монако 18:00
26.09.2021 Марсель  -  Ланс 21:45
9-й тур
01.10.2021 Ланс  -  Реймс 22:00
02.10.2021 Монпелье  -  Страсбур 18:00
02.10.2021 Ницца  -  Брест 22:00
03.10.2021 Ренн  -  ПСЖ 14:00
03.10.2021 Анже  -  Метц 16:00
03.10.2021 Лорьян  -  Клермон Фут 16:00
03.10.2021 Монако  -  Бордо 16:00
03.10.2021 Нант  -  Труа 16:00
03.10.2021 Лилль  -  Марсель 18:00
03.10.2021 Сент-Этьен  -  Лион 22:00
10-й тур
15.10.2021 ПСЖ  -  Анже 22:00
16.10.2021 Клермон Фут  -  Лилль 18:00
16.10.2021 Лион  -  Монако 22:00
17.10.2021 Труа  -  Ницца 14:00
17.10.2021 Бордо  -  Нант 16:00
17.10.2021 Брест  -  Реймс 16:00
17.10.2021 Метц  -  Ренн 16:00
17.10.2021 Страсбур  -  Сент-Этьен 16:00
17.10.2021 Монпелье  -  Ланс 18:00
17.10.2021 Марсель  -  Лорьян 21:45
11-й тур
24.10.2021 Ланс  -  Метц _ : _
24.10.2021 Лилль  -  Брест _ : _
24.10.2021 Лорьян  -  Бордо _ : _
24.10.2021 Марсель  -  ПСЖ _ : _
24.10.2021 Монако  -  Монпелье _ : _
24.10.2021 Нант  -  Клермон Фут _ : _
24.10.2021 Ницца  -  Лион _ : _
24.10.2021 Реймс  -  Труа _ : _
24.10.2021 Ренн  -  Страсбур _ : _
24.10.2021 Сент-Этьен  -  Анже _ : _
12-й тур
31.10.2021 Анже  -  Ницца _ : _
31.10.2021 Бордо  -  Реймс _ : _
31.10.2021 Брест  -  Монако _ : _
31.10.2021 Клермон Фут  -  Марсель _ : _
31.10.2021 Лион  -  Ланс _ : _
31.10.2021 Метц  -  Сент-Этьен _ : _
31.10.2021 Монпелье  -  Нант _ : _
31.10.2021 ПСЖ  -  Лилль _ : _
31.10.2021 Страсбур  -  Лорьян _ : _
31.10.2021 Труа  -  Ренн _ : _
13-й тур
07.11.2021 Бордо  -  ПСЖ _ : _
07.11.2021 Ланс  -  Труа _ : _
07.11.2021 Лилль  -  Анже _ : _
07.11.2021 Лорьян  -  Брест _ : _
07.11.2021 Марсель  -  Метц _ : _
07.11.2021 Нант  -  Страсбур _ : _
07.11.2021 Ницца  -  Монпелье _ : _
07.11.2021 Реймс  -  Монако _ : _
07.11.2021 Ренн  -  Лион _ : _
07.11.2021 Сент-Этьен  -  Клермон Фут _ : _
14-й тур
21.11.2021 Анже  -  Лорьян _ : _
21.11.2021 Брест  -  Ланс _ : _
21.11.2021 Клермон Фут  -  Ницца _ : _
21.11.2021 Лион  -  Марсель _ : _
21.11.2021 Метц  -  Бордо _ : _
21.11.2021 Монако  -  Лилль _ : _
