1-й тур
13.08.2021 Боруссия М  -  Бавария 1 : 1
14.08.2021 Унион Б  -  Байер 1 : 1
14.08.2021 Штутгарт  -  Гройтер Фюрт 5 : 1
14.08.2021 Арминия  -  Фрайбург 0 : 0
14.08.2021 Аугсбург  -  Хоффенхайм 0 : 4
14.08.2021 Вольфсбург  -  Бохум 1 : 0
14.08.2021 Боруссия Д  -  Айнтрахт Ф 5 : 2
15.08.2021 Майнц  -  РБ Лейпциг 1 : 0
15.08.2021 Кельн  -  Герта 3 : 1
2-й тур
20.08.2021 РБ Лейпциг  -  Штутгарт 4 : 0
21.08.2021 Айнтрахт Ф  -  Аугсбург 0 : 0
21.08.2021 Бохум  -  Майнц 2 : 0
21.08.2021 Герта  -  Вольфсбург 1 : 2
21.08.2021 Гройтер Фюрт  -  Арминия 1 : 1
21.08.2021 Фрайбург  -  Боруссия Д 2 : 1
21.08.2021 Байер  -  Боруссия М 4 : 0
22.08.2021 Хоффенхайм  -  Унион Б 2 : 2
22.08.2021 Бавария  -  Кельн 3 : 2
3-й тур
27.08.2021 Боруссия Д  -  Хоффенхайм 3 : 2
28.08.2021 Арминия  -  Айнтрахт Ф 1 : 1
28.08.2021 Аугсбург  -  Байер 1 : 4
28.08.2021 Кельн  -  Бохум 2 : 1
28.08.2021 Майнц  -  Гройтер Фюрт 3 : 0
28.08.2021 Штутгарт  -  Фрайбург 2 : 3
28.08.2021 Бавария  -  Герта 5 : 0
29.08.2021 Унион Б  -  Боруссия М 2 : 1
29.08.2021 Вольфсбург  -  РБ Лейпциг 1 : 0
4-й тур
11.09.2021 Байер  -  Боруссия Д 3 : 4
11.09.2021 Гройтер Фюрт  -  Вольфсбург 0 : 2
11.09.2021 Унион Б  -  Аугсбург 0 : 0
11.09.2021 Фрайбург  -  Кельн 1 : 1
11.09.2021 Хоффенхайм  -  Майнц 0 : 2
11.09.2021 РБ Лейпциг  -  Бавария 1 : 4
12.09.2021 Айнтрахт Ф  -  Штутгарт 1 : 1
